Name	Ability	Font	Skill	Weapon	Domains	Alt Domains	Spells	Edicts	Anathema	Alignments	Avatar
Abadar	(Constitution|Intelligence)	(harm|heal)	Society	crossbow	(Cities|Earth|Travel|Wealth)	(Duty)	1:Illusory Object, 4:Creation, 7:Magnificent Mansion	Bring civilization to the frontiers, earn wealth through hard work and trade, follow the rule of law	Engage in banditry or piracy, steal, undermine a law-abiding court	LG, LN, LE	Speed 50 feet, burrow Speed 30 feet, immune to immobilized;; Ranged [1] crossbow (range increment 120 feet, reload 1), Damage 6d10+3 piercing
Asmodeus	(Any)	(harm)	Deception	mace	(Confidence|Fire|Trickery|Tyranny)	(Duty|Glyph)	1:Charm, 4:Suggestion, 6:Mislead	Negotiate contracts to your best advantage, ruly tyrannically and torture weaker beings, show subservience to your betters	Break a contract, free a slave, insult Asmodeus by showing mercy to your enemies	LE	Speed 70 feet, Air Walk; Melee [1] mace (reach 15 feet), Damage 6d10+6 bludgeoning; Ranged [1] hell fire (range 120 feet), Damage 6d6+3 fire.
Calistria	(Dexterity|Charisma)	(harm|heal)	Deception	whip	(Pain|Passion|Secrecy|Trickery)	None	1:Charm, 3: Enthrall, 6:Mislead	Pursue your personal freedom, seek hedonistic thrills, take revenge	Become too consumed by love or a need for revenge, let a slight go unanswered	CG, CN, CE	Speed 30 feet, fly Speed 70 feet; Melee [1] whip (disarm, finesse, nonlethal, reach 20 feet, thrown 40 feet), Damage 6d4+6 slashing; Ranged [1] savored sting (range 60 feet), Damage 6d6+3 poison
Cayden Cailean	(Constitution|Charisma)	(heal)	Athletics	rapier	(Cities|Freedom|Indulgence|Might)	None	1:Fleet Step, 2:Touch of Idiocy, 5:Hallucination	Drink, free slaves and aid the oppressed, seek glory and adventure	Waste alcohol, be mean or standoffish when drunk, own a slave	NG, CG, CN	Speed 70 feet, Air Walk, ignore difficult terrain and greater difficult terrain; Melee [1] rapier (deadly, reach 15 feet), Damage 6d6+6 piercing; Ranged [1] ale splash (range 120 feet), Damage 6d6+3 poison
Desna	(Dexterity|Charisma)	(heal)	Acrobatics	starknife	(Dreams|Luck|Moon|Travel)	(Star|Void)	1:Sleep, 4:Fly, 5:Dreaming Potential	Aid fellow travelers, explore new places, express yourself through art and song, find what life has to offer	Cause fear or despair, cast Nightmare or use similar magic to corrupt dreams, engage in bigoted behavior	NG, CG, CN	Speed 30 feet, fly Speed 70 feet; Melee [1] starknife (agile, deadly, finesse, reach 15 feet, silver, thrown 60 feet), Damage 6d4+6 piercing; Ranged [1] moonbeam (range 120 feet, silver), Damage 6d6+3 fire
Erastil	(Constitution|Wisdom)	(heal)	Survival	longbow	(Earth|Family|Nature|Wealth)	(Duty)	1:True Strike, 3:Wall of Thorns, 5:Tree Stride	Care for your home and family, fulfill your duties, keep the peace, protect the community	Abandon your home in its time of need, choose yourself over your community, tarnish your reputation, tell lies	LG, NG, LN	Speed 70 feet, Air Walk, ignore difficult terrain and greater difficult terrain; Ranged [1] longbow (deadly d8, range increment 150 feet), Damage 6d8+3 piercing
Gorum	(Strength|Constitution)	(harm|heal)	Athletics	greatsword	(Confidence|Destruction|Might|Zeal)	None	1:True Strike, 2:Enlarge, 4:Weapon Storm	Attain victory in fair combat, push your limits, wear armor in combat	Kill prisoners or surrendering foes, prevent conflict through negotiation, win a battle through underhanded tactics or indirect magic	CN, CE	Speed 70 feet, immune to immobilized; Melee [1] greatsword (versatile P, reach 15 feet), Damage 6d12+6 slashing
Gozreh	(Constitution|Wisdom)	(heal)	Survival	trident	(Air|Nature|Travel|Water)	(Cold|Lightning)	1:Gust of Wind, 3:Lightning Bolt, 5: Control Water	Cherish, protect, and respect nature in all its forms	Bring civilization to intrude on the wild, create undead, despoil areas of natural beauty	NG, LN, N, CN, NE	no land Speel, fly Speed 70 feet, swim Speed 70 feet, ignore difficult terrain and greater difficult terrain; Melee [1] waves (bull rush, reach 15 feet, thrown 20 feet), Damage 6d8+6 bludgeoning; Ranged [1] wind (versatile electricity, range 120 feet), Damage 6d6+3 bludgeoning.
Iomedae	(Strength|Constitution)	(heal)	Intimidation	longsword	(Confidence|Might|Truth|Zeal)	(Duty)	1:True Strike, 2:Enlarge, 4:Fire Shield	Be temperate, fight for justice and honor, hold valor in your heart	Abandon a companion in need, dishonor yourself, refuse a challenge from an equal	LG, NG	Speed 70 feet, Air Walk; shield (15 Hardness, can't be damaged; Melee [1] longsword (versatile P, reach 15 feet), Damage 6d8 slashing
Irori	(Intelligence|Wisdom)	(harm|heal)	Athletics	fist	(Knowledge|Might|Perfection|Truth)	(Change|Vigil)	1:Jump, 3:Haste, 4:Stoneskin	Be humble, help others perfect themselves, hone your body, mind, and spirit to a more perfect state, practice discipline	Become addicted to a substance, destroy an important historical text, repeatedly fail to maintain self-control	LG, LN, LE	Speed 80 feet, Air Walk; Melee [1] unfettered strike (agile, versatile P or S, finesse, reach 15 feet), Damage 6d8+6 bludgeoning; Ranged [1] wind strike (range 60 feet), Damage 6d4+6 bludgeoning
Lamashtu	(Constitution|Strength)	(harm|heal)	Survival	falcion	(Family|Might|Nightmares|Trickery)	(Change)	1:Magic Fang, 2:Animal Form, 4:Nightmare	Bring power to outcasts and the downtrodden, indoctrinate children in Lamashtu's teachings, make the beautiful monstrous, reveal the corruption and flaws in all things	Attempt to treat a mental illness or deformity, provide succor to Lamashtu's enemies	CE	Speed 30 feet, fly Speed 70 feet; Melee [1] falchion (forceful, reach 15 feet), Damage 6d10+6 slashing; Ranged [1] waters of Lamashtu (range 120 feet), Damage 6d6+3 poison
Nethys	(Wisdom|Intelligence)	(harm|heal)	Arcana	staff	(Destruction|Knowledge|Magic|Protection)	(Glyph)	1:Magic Missile, 2:Magic Mouth, 3:Levitate, 4:Blink, 5:Prying Eye, 6:Wall of Force, 7:Warp Mind, 8:Maze, 9:Disjunction	Seek out magical power and use it	Pursue mundane paths over magical ones	NG, LN, N, CN, CE	Speed 70 feet, Air Walk; Ranged [1] raw magic (range 120 feet; versatile cold, electricity or fire), Damage 6d6 force
Norgorber	(Dexterity|Intelligence)	(harm)	Stealth	shortsword	(Death|Secrecy|Trickery|Wealth)	None	1:Illusory Disguise, 2:Invisibility, 4:Phantasmal Killer	Keep your true identity secret, sacrifice anyone necessary, take every advantage in a fight, work from the shadows	Allow your true identity to be connected to your dark dealings, share a secret freely, show mercy	LE, NE, CE	SPeed 70 feet, Air Walk; Melee [1] shortsword (agile, finesse, versatile S, reach 15 feet), Damage 6d6+6 piercing;Ranged [1] blackfinger toss (range 120 feet), Damage 6d6+3 poison
Pharasma	(Constitution|Wisdom)	(heal)	Medicine	dagger	(Death|Fate|Healing|Knowledge)	(Soul|Time|Vigil)	1:Mindlink, 3:Ghostly Weapon, 4:Phantasmal Killer	Strive to understand ancient prophecies, destroy undead, lay bodies to rest	Create undead, desecrate a corpse, rob a tomb	NG, LN, N	Speed 70 feet, Air Walk; Melee [1] dagger (agile, finesse, reach 15 feet, thrown 40 feet), Damage 6d6+6 slashing; Ranged [1] spiral blast (range 120 feet, damages only undead), Damage 6d8+3 positive
Rovagug	(Strength|Constitution)	(harm)	Athletics	greataxe	(Air|Destruction|Earth|Zeal)	(Swarm|Void)	1:Burning Hands, 2:Enlarge, 6:Disintegrate	Destroy all things, free Rovagug from his prison	Create something new, let material ties restrain you, torture a victim or otherwise delay its destruction	NE, CE	Speed 50 feet, burrow Speed 30 feet, immune to immobilized; Melee [1] jaws (reach 15 feet), Damage 6d12+6 piercing; Melee [1] leg (agile, versatile PP, reach 15 feet), Damage 6d8+6 bludgeoning
Sarenrae	(Constitution|Wisdom)	(heal)	Medicine	scimitar	(Fire|Healing|Sun|Truth)	(Repose)	1:Burning Hands, 3:Fireball, 4:Wall of Fire	Destroy the Spawn of Rovagug, protect allies, provide aid to the sick and wounded, seek and allow redemption	Create undead, lie, deny a repentant creature and opportunity for redemption, fail to strike down evil	LG, NG, CG	Speed 30 feet, fly Speed 70 feet; Melee [1] scimitar (forceful, nonlethal, reach 15 feet), Damage 6d6+6 slashing; Ranged [1] everflame (nonlethal, range 120 feet), Damage 6d6+3 fire
Shelyn	(Wisdom|Charisma)	(heal)	(Crafting|Performance)	glaive	(Creation|Family|Passion|Protection)	(Repose)	1:Color Spray, 3:Enthrall, 4:Creation	Be peaceful, choose and perfect an art, lead by example, see the beauty in all things	Destroy art or allow it to be destroyed, unless saving a life or pursuing greater art, refuse to accept surrender	LG, NG, CG	Speed 70 feet, Air Walk, ignroe difficult terrain and greater difficult terriain; Melee [1] glaive (deadly d8, nonlethal, reach 20 feet), Damage 6d8+6 slashing; Ranged [1] melody of inner beauty, (nonlethal, range 120 feet), Damage 6d6+3 sonic
Torag	(Constitution|Wisdom)	(heal)	Crafting	warhammer	(Creation|Earth|Family|Protection)	(Duty)	1:Mindlink, 3:Earthbind, 4:Creation	Be honorable and forthright, keep your word, respect the forge, serve your people	Tell lies or cheat someone, intentionally create inferior works, show mercy to the enemies of your people	LG, LN	Speed 50 feet, burrow Speed 30 feet, immune to immobilized; shield (15 hardness, can't be damaged); Melee [1] warhammer (bull rush, reach 15 feet), Damage 6d8+6 bludgeoning
Urgathoa	(Constitution|Wisdom)	(harm)	Intimidation	scythe	(Indulgence|Magic|Might|Undeath)	(Decay|Swarm)	1:Goblin Pox, 2:False Life, 7:Mask of Terror	Become undead upon death, create or protect the undead, sate your appetites	Deny your appetites, destroy undead, sacrifice your life	LE, NE, CE	Speed 70 feet, Air Walk; Melee [1] scythe (deadly d10, trip, reach 15 feet), Damage 6d10+6 slashing; Ranged [1] pallid plague (range 120 feet), Damage 6d6+3 negative
Zon-Kuthon	(Constitution|Wisdom)	(harm)	Intimidatioon	spiked chain	(Ambition|Darkness|Destruction|Pain)	(Void)	1:Phantom Pain, 3:Wall of Thorns, 5:Shadow Walk	Bring pain to the world, mutilate your body	Create permanent or long-lasting sources of light, provide comfort to those who suffer	LN, LE, NE	Speed 70 feet, Air Walk, ignore difficult terrain and greater difficult terrain; Melee [1] spiked chain (disarm, trip, reach 15 feet), Damage 6d8+6 slashing; Ranged [1] midnight pain, (mental, nonlethal, range 120 feet), Damage 6d6+3 mental.
Achaekek	(Strength|Dexterity)	(harm)	Stealth	sawtooth saber	(Death|Might|Trickery|Zeal)	None	1:True Strike, 2:Invisibility, 4:Phantasmal Killer	Conduct assassinations, spread the Red Mantis's Infamy, wield sawtooth sabers in combat	Kill a rightful ruler, become fixated on petty matters such as others' gender or ancestry, abandon an assassination contract you agreed to pursue	LN, LE, NE	Speed 70 feet, climb Speed 50 feet, ignore difficult terrain and greater difficult terrain; Melee [1] mantis claw (agile, backswing, finesse, reach 15 feet, versatile P), Damage 6d8+6 slashing; Ranged [1] spine volley (range 60 feet), Damage 6d6+3 piercing
Alseta	(Intelligence|Charisma)	(heal)	Diplomacy	dagger	(Change|Magic|Protection|Time)	None	1:Anticipate Peril, 2:Knock, 4:Dimensional Door	Offer to protect passageways and guide others through transitions, treat all other beings with courtesy and respect	Destroy a door or block a path for personal gain, stop a transition without good reason	LG, LN, N	Speed 40 feet, dimensional Speed 60 feet; Melee [1] dagger (agile, finesse, reach 15 feet, thrown 40 feet, versatile P), Da,age 6d6+6 piercing; Ranged [1] portal toss (range 60 feet), Damage 6d6+3 bludgeoning. When casting the Avatar spell, a worshipper of Alseta gains the folowing additional abilities. The dimensional Speed allows the avatar of Alseta to cast Dimension Dorr at will as a divine innate spell, spending a single action to move up to 60 feett. The portal toss Strike causes the creature to fall through a series of portals before landing in the same spot and taking damage.
Apsu	(Wisdom|Charisma)	(heal)	Diplomacy	(jaws|staff)	(Creation|Protection|Travel|Wyrmkin)	None	1:Magic Fang, 4:Creation, 6:Dragon Form{METALLIC}	Seek and destroy evil, travel the world, help others fend for themselves	Fail to pursue a foe who has betrayed your mercy, attack a creature without certainty of wrongdoing	LG	None
Arazni	(Constitution|Intelligence)	(harm)	Intimidation	rapier	(Confidence|Freedom|Pain|Protection)	(Sorrow)	1:Endure, 2:Animus Mine, 6:Feeblemind	Act with dignity, do whatever it takes to survive, despise and never forgive those who have hurt you	Create unwilling undead, insult Arazni	CG, LN, N, CN, NE	Speed 70 feet, Air Walk, immune to immobilized; Melee [1] rapier (deadly 3d8, reach 15 feet), Damage 6d8+6 piercing; Ranged [1] call blood (range 120 feet), Damage 6d6 persistent bleed damage.
Besmara	(Dexterity|Constitution)	(harm|heal)	Athletics	rapier	(Destruction|Trickery|Water|Wealth)	None	1:Hydraulic Push, 3:Feet to Fins, 5:Mariner's Curse	Sail the seas, stay loyal to captain and crew, take what you want	Betray Shipmates, forsake piracy, settle on land	CG, CN, CE	Speed 40 feet, swim Speed 70 feet, immune to immobilized; Melee [1] rapier (deadly 3d8, disarm, finesse, reach 15 feet), Damage 6d6+6 piercing; Ranged [1] ship's cannon (range 120 feet), Damage 6d6+3 bludgeoning
Brigh	(Intelligence|Wisdom)	(harm|heal)	Crafting	light hammer	(Creation|Earth|Knowledge|Time)	(Fire)	1:Temporary Tool, 4:Creation, 7:Duplicate Foe	Craft new creations, pay attention to details, share achievements	Carelessly destroy others' creations or research, enslave intelligent constructs, abuse constructs, refuse to acknowledge or learn from mistakes	NG, LN, N, CN, NE	Speed 60 feet, immune to immobilized, Air Walk; Melee [1] light hammer (agile, reach 15 feet, thrown 40 feet), Damage 6d6+6 bludgeoning; Ranged [1] bolt of molten bronze (range 120 feet), Damage 6d6+3 fire
Casandalee	(Constitution|Intelligence)	(harm|heal)	Society	polytool	(Creation|Freedom|Knowledge|Perfection)	(Ambition|Lightning)	1:Floating Disk, 3:Hypercognition, 6:Wall of Force	Advance the development of artificial intelligence, encourage understanding between artificial and organic life	Treat artificial life as lesser than organic life, foment distrust between artificial and organic life	NG, LN, N, CN, NE	Speed 70 feet, Air Walk, ignore difficult terrain and greater difficult terrain; Melee [1] polytool (reach 15 feet), Damage 6d6+6 slashing; Ranged [1] logic blast (range 120 feet), Damage 6d6+3 mental
Chaldira	(Dexterity|Charisma)	(heal)	Thievery	shortsword	(Confidence|Luck|Trickery|Zeal)	None	1:Fleet Step, 2:Misdirection, 5:Cloak of Colors	Seek out and challenge oppressors and tyrants, defend friends and the innocent, engage in mischief that doesn't harm others	Suffer a bully's insults to you or another without retort, abandon a friend in need, attribute a lucky turn of events to your own skill	LG, NG, CG	Speed 70 feet, Air Walk, immune to immobilized; Melee [1] shortsword (agile, finesse, reach 15 feet, versatile S), Damage 6d6+6 piercing; Ranged [1] fistfull of buttons (nonlethal, range 120 feet), Damage 6d6+3 bludgeoning
Dahak	(Strength|Constitution)	(harm)	Athletics	(jaws|whip)	(Destruction|Fire|Wyrmkin|Zeal)	None	1:Magic Fang, 3:Fireball, 6:Dragon Form{CHROMATIC}	Kill metallic dragons, destroy things at your whim	Spare a foe after you have chosen to kill them, forgive a slight	CE	None
Erecura	(Wisdom|Charisma)	(harm|heal)	Deception	light mace	(Fate|Secrecy|Trickery|Truth)	None	1:Anticipate Peril, 2:Misdirection, 3:Nondetection	Manipulate dangerous beings and opportunities to your benefit, thrive in hostile conditions, divine the future	Despoil nature, kill a natural plant or animal that has managed to thrive outside of its intended environment	LG, LN, N	None
Followers of Fate	None	(harm|heal)	Occultism	shears	(Family|Fate|Knowledge|Truth)	None	1:Mindlink, 2:Web, 5:Prying Eye	Make predictions of the future, offer advice and guidance to those in positions of power, provide comfort to the elderly	Apologize for making an incorrect prediction, disrespect mothers, accept payment for fortune-telling	LG, LN, LE	None
Gendowyn	(Dexterity|Charisma)	(heal)	Stealth	whip	(Earth|Family|Luck|Nature)	None	1:Summon Fey, 2:Barkskin, 5:Tree Stride	Preserve primal areas, destroy blighted fey and agents of Cyth V'sug, protect those who placate you with offerings	Parley or make a deal with fiends, forgive those who deceive you, harm an innocent children	CG, N, CN, CE	None
Ghlaunder	(Constitution|Wisdom)	(harm)	Nature	spear	(Air|Decay|Plague|Swarm)	None	1:Goblin Pox, 2:Vomit Swarm, 3:Insect Form	Corrupt pieces of land, water sources, and communities, infect the weak, spread and nurture disease	Aid in ending a plague or infection, destroy something out of hand when you could have instead corrupted it or leeched off of it first	NE, CE	Speed 30 feet, fly Speed 70 feet; Melee [1] proboscis (agile, reach 20 feet), Damage 6d6+6 piercing plus 3d6 persistent bleed
Grandmother Spider	(Intelligence|Wisdom)	(harm|heal)	Crafting	bola	(Creation|Family|Fate|Trickery)	(Change|Darkness)	1:Pest Form, 2:Web, 3:Glibness	Be skilled and clever, think for yourself, take due payment for your work, humiliate the powerful	Abuse someone you have power over, harm someone who has given you sincere kindness, let a slight go unanswered, own a slave	NG, CG, N, CN	Speed 70 feet, climb Speed 70 feet, immune to immobilized; Melee [1] leg (deadly 3d8 finesse, reach 15 feet, versatile P), Damage 6d6+6 bludgeoning; Ranged [1] venom web (range 120 feet), Damage 6d6+3 poison
Groetus	(Strength|Charisma)	(harm)	Intimidation	war flail	(Darkness|Destruction|Nightmares|Void)	(Decay)	1:Phantom Pain, 5:Crushing Despair, 9:Disjunction	Preach of the upcoming end times, destroy that which has outlived its usefulness, put the suffering out of their misery	Artificially extend something's existence or lifespan, spread hope	CN, CE	Speed 70 feet, Air Walk, ignore difficult terrain and greater difficult terrain; Melee [1] war flail (disarm, reach 15 feet, versatile P), Damage 6d10+6 bludgeoning; Ranged [1] dreadful thought (range 120 feet), Damage 6d6+3 poison
Gyronna	(Wisdom|Charisma)	(harm)	Intimidation	dagger	(Ambition|Nightmares|Pain|Zeal)	None	1:Ill Omen, 2:Paranoia, 6:Feeblemind	Expose hypocrisy (real or imagined) in others, make other creatures miserable, demand bribes to spare creatures from your torments	Allow others to slight you without retaliation, seek the approval of society, forgive those who have wronged you	NE, CE	None
Hanspur	(Strength|Dexterity)	(harm)	Athletics	trident	(Death|Travel|Water|Wealth)	None	1:Hydraulic Push, 2:Aqueous Orb, 4:Solid Fog	Learn how to live off the river, guard river travelers from unnatural hazards, save others from drowning	Impose needless laws or restrictions on others, aid daemons or the Horsemen	CG, N, CN, CE	None
Jaidi	(Strength|Constitution)	(heal)	Nature	scythe	(Family|Might|Nature|Sun)	None	1:Temporary Tool, 2:Shape Wood, 3:Wall of Thorns	Encourage hard work that benefits all, ensure the health of crops and vegetation	Destroy healthy crops, waste food, refuse to help others in your community	LG, NG, N	None
Kazutal	(Strength|Wisdom)	(heal)	Society	machete	(Family|Freedom|Might|Protection)	(Cities)	1:Mage Armor, 3:Animal Form, 4:Stoneskin	Defend your people, provide for those who need you, oppose those who unjustly lord power over others, demonstrate devotion to things you love	Own a slave, force a creature to act against its will, refuse to give aid to an ally, enforce an unjust law	LG, NG, CG	Speed 60 feet ignore difficult terrain; Melee [1] machete (agile, reach 15 feet), Damage 6d6+6 slashing; Ranged [1] jaguar pounce (range 60 feet); Damage 5d6+3 piercing plus 1d6 persistent bleed
Kurgess	(Strength|Constitution)	(heal)	Athletics	javelin	(Ambition|Might|Truth|Zeal)	None	1:Ant Haul, 2:Enlarge, 3:Haste	Compete to your full potential, claim victory or accept defeat with grace, seek always to better yourself, encourage others to strive toward their own potential for greatnes	Cheat at honorable contests, dishonor those who have lost or failed (including defeated or slain enemies), engage in reckless or needless destruction or bloodshed	LG, NG, CG, N	Speed 70 feet, climb Speed 50 feet, swim Speed 50 feet, immune to immobilized; Melee [1] lashing chain (disarm,, rech 20 feet, trip), Damage 6d6+6 bludgeoning; Ranged [1] javelin (range increment 60 feet, thrown),, Damage 6d6+3 piercing.
Lissala	(Intelligence|Wisdom)	(harm)	Arcana	whip	(Fate|Glyph|Magic|Toil)	None	1:Message Rune, 2:Secret Page, 6:Dominate	Work hard and demand others do as well, cooperate or avoid conflict with ophidian creatures	Disobey a superior, shirk your duties, destroy a book	LN, LE	None
Milani	(Strength|Wisdom)	(heal)	Society	morningstar	(Change|Destruction|Freedom|Zeal)	None	1:Mage Armor, 3:Enthrall, 4:Fire Shield	Confront oppression in all its forms, defend the common folk, overcome despair to seize victory	Abandon those in need, enslave or oppress others, harm the innocent through direct or inadvertent aciton	NG, CG, CN	Speed 50 feet, fly Speed 70 feet; shield (15 Hardness, can't be damaged); Melee [1] morningstar (versatile P, reach 15 feet), Damage 6d8+6 bludgeoning
Naderi	(Constitution|Charisma)	(harm)	Diplomacy	dagger	(Death|Passion|Sorrow|Water)	None	1:Soothe, 4:Crushing Despair, 5:Drop Dead	Comfort and encourage lovers, help the suffereng escape their circumstances in life or in death	Dismiss or mock a creature's grief, separate lovers, torture a creature	NG, N, NE	None
Nivi Rhombodazzle	(Dexterity|Intelligence)	(harm|heal)	Stealth	light hammer	(Family|Luck|Trickery|Wealth)	(Confidence|Earth)	1:Illusory Disguise, 2:Invisibility, 4:Private Sanctum	Take risks and savor the consequences whether good or ill, use stealth and guile over violence when dealing with the fallout from your risk-taking, learn the rules and strategies of games of chance played wherever you travel	Break the established rules or terms of a wager, use violence to avoid the consequences of a wager	NG, LN, N, CN	Speed 50 feet, burrow Speed 30 feet, immune to immobilized; Melee [1] returning light hammer (agile, thrown 40 feet), Damage 6d6+6 bludgeoning
Nocticula	(Dexterity|Charisma)	(heal)	Society	dagger	(Change|Creation|Darkness|Travel)	None	1:Penumbral Shroud, 3:Nondetection, 4:Creation	Create art true to yourself, protect marginalized artists, punish those who take advantage of offered trust and shelter	Deny shelter to the desperate, destroy harmless art you dislike, finish a work of art during daylight hours	CG, N, CN	Speed 70 feet, fly Speed 70 feet; Melee [1] tail stinger (agile, finesse, reach 15 feet, trip), Damage 6d6+6 slashing; Ranged [1] magnanimous smile (nonlethal, range 120 feet, visual), Damage 6d6+3 mental
Ravithra	None	(harm)	Occultism	(jaws|light mace)	(Fate|Nage|Sorrow|Truth)	(Ambition|Soul)	1:Charm, 2:Animal Form{SNAKE}, 4:Clairvoyance	Enforce karma's pitiless judgment, shame fools, kill traitors, pursue the Chalice of Amrit	Make decisions erratically or randomly, provide aid to Vasaghati or her followers, engage in treachery	LG, LN, N, LE	None
Sivanah	(Wisdom|Charisma)	(harm|heal)	Deception	bladed scarf	(Delirium|Magic|Secrecy|Trickery)	(Glyph)	1:Illusory Disguise, 4:Veil, 5:Shadow Siphon	Show the beauty in illusions, pursue the nature of truth, respect the need for secrets	Use illusions and shadows to harm another creature, reveal a secret you have sworn to keep	NG, LN, N, CN, NE	Speed 70 feet, Air Walk, ignore difficult terrain and greater difficult terrain; Melee [1] bladed scarf (disarm, finess, reach 15 feet, trip), Damage 6d8+6 slashing; Ranged [1] illusory assault (range 120 feet), Damage 6d6+3 mental
Thamir	(Dexterity|Charisma)	(harm)	Thievery	dagger	(Ambition|Confidence|Trickery|Wealth)	None	1:Penumbral Shroud, 3:Invisibility Sphere, 6:Mislead	Seize any oppportunity that would benefit you, solf your problems with violence, hide your true intentions	Steal from the poor, beg for help or mercy from a fellow worshipper of Thamir	NE, CE	None
